12.32,12.32
13.09,12.32
13.86,12.32
14.63,12.32
15.4,12.32
16.17,12.32
16.94,12.32
17.71,12.32
18.48,12.32
19.25,12.32
20.02,12.32
20.79,12.32
21.56,12.32
22.33,12.32
23.1,12.32
23.87,12.32
24.64,12.32
14.63,11.55
16.17,11.55
16.94,11.55
17.71,11.55
20.02,11.55
20.79,11.55
21.56,11.55
23.1,11.55
14.63,10.78
16.17,10.78
16.94,10.78
17.71,10.78
20.02,10.78
20.79,10.78
21.56,10.78
23.1,10.78
13.09,10.01
13.86,10.01
15.4,10.01
18.48,10.01
19.25,10.01
22.33,10.01
23.87,10.01
24.64,10.01
14.63,9.24
16.17,9.24
16.94,9.24
17.71,9.24
20.02,9.24
20.79,9.24
21.56,9.24
23.1,9.24
13.09,8.47
13.86,8.47
15.4,8.47
18.48,8.47
19.25,8.47
22.33,8.47
23.87,8.47
24.64,8.47
13.09,7.7
13.86,7.7
15.4,7.7
18.48,7.7
19.25,7.7
22.33,7.7
23.87,7.7
24.64,7.7
13.09,6.93
13.86,6.93
15.4,6.93
18.48,6.93
19.25,6.93
22.33,6.93
23.87,6.93
24.64,6.93
14.63,6.16
16.17,6.16
16.94,6.16
17.71,6.16
20.02,6.16
20.79,6.16
21.56,6.16
23.1,6.16
14.63,5.39
16.17,5.39
16.94,5.39
17.71,5.39
20.02,5.39
20.79,5.39
21.56,5.39
23.1,5.39
13.09,4.62
13.86,4.62
15.4,4.62
18.48,4.62
19.25,4.62
22.33,4.62
23.87,4.62
24.64,4.62
13.09,3.85
13.86,3.85
15.4,3.85
18.48,3.85
19.25,3.85
22.33,3.85
23.87,3.85
24.64,3.85
13.09,3.08
13.86,3.08
15.4,3.08
18.48,3.08
19.25,3.08
22.33,3.08
23.87,3.08
24.64,3.08
14.63,2.31
16.17,2.31
16.94,2.31
17.71,2.31
20.02,2.31
20.79,2.31
21.56,2.31
23.1,2.31
13.09,1.54
13.86,1.54
15.4,1.54
18.48,1.54
19.25,1.54
22.33,1.54
23.87,1.54
24.64,1.54
14.63,0.77
16.17,0.77
16.94,0.77
17.71,0.77
20.02,0.77
20.79,0.77
21.56,0.77
23.1,0.77
14.63,0.0
16.17,0.0
16.94,0.0
17.71,0.0
20.02,0.0
20.79,0.0
21.56,0.0
23.1,0.0
12.32,25.41
13.09,25.41
13.86,25.41
14.63,25.41
15.4,25.41
16.17,25.41
16.94,25.41
17.71,25.41
18.48,25.41
19.25,25.41
20.02,25.41
20.79,25.41
21.56,25.41
22.33,25.41
23.1,25.41
23.87,25.41
24.64,25.41
14.63,24.64
16.17,24.64
16.94,24.64
17.71,24.64
20.02,24.64
20.79,24.64
21.56,24.64
23.1,24.64
14.63,23.87
16.17,23.87
16.94,23.87
17.71,23.87
20.02,23.87
20.79,23.87
21.56,23.87
23.1,23.87
13.09,23.1
13.86,23.1
15.4,23.1
18.48,23.1
19.25,23.1
22.33,23.1
23.87,23.1
24.64,23.1
14.63,22.33
16.17,22.33
16.94,22.33
17.71,22.33
20.02,22.33
20.79,22.33
21.56,22.33
23.1,22.33
13.09,21.56
13.86,21.56
15.4,21.56
18.48,21.56
19.25,21.56
22.33,21.56
23.87,21.56
24.64,21.56
13.09,20.79
13.86,20.79
15.4,20.79
18.48,20.79
19.25,20.79
22.33,20.79
23.87,20.79
24.64,20.79
13.09,20.02
13.86,20.02
15.4,20.02
18.48,20.02
19.25,20.02
22.33,20.02
23.87,20.02
24.64,20.02
14.63,19.25
16.17,19.25
16.94,19.25
17.71,19.25
20.02,19.25
20.79,19.25
21.56,19.25
23.1,19.25
14.63,18.48
16.17,18.48
16.94,18.48
17.71,18.48
20.02,18.48
20.79,18.48
21.56,18.48
23.1,18.48
13.09,17.71
13.86,17.71
15.4,17.71
18.48,17.71
19.25,17.71
22.33,17.71
23.87,17.71
24.64,17.71
13.09,16.94
13.86,16.94
15.4,16.94
18.48,16.94
19.25,16.94
22.33,16.94
23.87,16.94
24.64,16.94
13.09,16.17
13.86,16.17
15.4,16.17
18.48,16.17
19.25,16.17
22.33,16.17
23.87,16.17
24.64,16.17
14.63,15.4
16.17,15.4
16.94,15.4
17.71,15.4
20.02,15.4
20.79,15.4
21.56,15.4
